,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
53,0.04007267951965332,0.0007328061930845824,0.0029524803161621095,0.0005373053614786648,gini,6,10,10,10,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 10}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
47,0.04027915000915527,0.000990289745861982,0.0028332233428955077,0.00021390824566470463,gini,6,10,2,10,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 10}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
48,0.040787363052368165,0.0007456849337303166,0.003227853775024414,0.000274832350768429,gini,6,10,6,2,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 6, 'random_state': 2}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
49,0.04088826179504394,0.0006062446458612035,0.0029820919036865233,2.8502499889275355e-05,gini,6,10,6,6,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 6, 'random_state': 6}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
50,0.040221357345581056,0.0006499323981262354,0.002785348892211914,0.0003842056510975796,gini,6,10,6,10,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 6, 'random_state': 10}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
51,0.04034876823425293,0.000782039412189958,0.00270538330078125,0.0003971999546980211,gini,6,10,10,2,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 2}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
52,0.03997406959533691,0.0005175641915238506,0.0031149864196777345,0.00017770201518558043,gini,6,10,10,6,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 6}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
46,0.04051527976989746,0.00048070565274580294,0.003023672103881836,0.0006240297658733067,gini,6,10,2,6,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 6}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
45,0.041300296783447266,0.0008770761402965557,0.002306222915649414,0.0003596917363173589,gini,6,10,2,2,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 2}",0.7199539965497412,0.7147786083956297,0.7809085681426107,0.7934407364787112,0.7704257767548907,0.7559015372643167,0.03233826700969192,1
126,0.04697375297546387,0.0013337490883766506,0.003342437744140625,0.00028300481777907374,entropy,6,10,2,2,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 2}",0.7176538240368028,0.7136285221391604,0.7745830937320299,0.7859608745684695,0.7767548906789413,0.7537162410310807,0.03134786894392437,10
134,0.04838442802429199,0.0009172917540184745,0.002970457077026367,0.0005930636923463142,entropy,6,10,10,10,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 10}",0.7176538240368028,0.7136285221391604,0.7745830937320299,0.7859608745684695,0.7767548906789413,0.7537162410310807,0.03134786894392437,10
207,0.04813566207885742,0.001505780615464436,0.0031485557556152344,0.0007017062616603609,log_loss,6,10,2,2,"{'criterion': 'log_loss', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 2}",0.7176538240368028,0.7136285221391604,0.7745830937320299,0.7859608745684695,0.7767548906789413,0.7537162410310807,0.03134786894392437,10
209,0.04703288078308106,0.0013639674937016733,0.002696657180786133,0.0006022108903280953,log_loss,6,10,2,10,"{'criterion': 'log_loss', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 10}",0.7176538240368028,0.7136285221391604,0.7745830937320299,0.7859608745684695,0.7767548906789413,0.7537162410310807,0.03134786894392437,10
210,0.047316360473632815,0.0006715674285822974,0.0029816627502441406,0.00031235254354086765,log_loss,6,10,6,2,"{'criterion': 'log_loss', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 6, 'random_state': 2}",0.7176538240368028,0.7136285221391604,0.7745830937320299,0.7859608745684695,0.7767548906789413,0.7537162410310807,0.03134786894392437,10
211,0.04860587120056152,0.0012797896475180523,0.002797698974609375,0.0005291823244784269,log_loss,6,10,6,6,"{'criterion': 'log_loss', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 6, 'random_state': 6}",0.7176538240368028,0.7136285221391604,0.7745830937320299,0.7859608745684695,0.7767548906789413,0.7537162410310807,0.03134786894392437,10
